"","Sq.Foot","Preference","PriceCost","alts","ranks","alg","attr_i","iterid","reportOut"
"1",0.3,0.4,0.3,"Ranch","1","TOPSIS","Sq.Foot",1,FALSE
"2",0.3,0.4,0.3,"Colonial","2","TOPSIS","Sq.Foot",1,FALSE
"3",0.3,0.4,0.3,"Reverse Ranch","3","TOPSIS","Sq.Foot",1,FALSE
"4",0.3,0.4,0.3,"Split Level","4","TOPSIS","Sq.Foot",1,FALSE
"5",0.2,0.45,0.35,"Ranch","1","TOPSIS","Sq.Foot",2,FALSE
"6",0.2,0.45,0.35,"Colonial","2","TOPSIS","Sq.Foot",2,FALSE
"7",0.2,0.45,0.35,"Reverse Ranch","3","TOPSIS","Sq.Foot",2,FALSE
"8",0.2,0.45,0.35,"Split Level","4","TOPSIS","Sq.Foot",2,FALSE
"9",0.4,0.35,0.25,"Ranch","1","TOPSIS","Sq.Foot",3,FALSE
"10",0.4,0.35,0.25,"Colonial","2","TOPSIS","Sq.Foot",3,FALSE
"11",0.4,0.35,0.25,"Reverse Ranch","3","TOPSIS","Sq.Foot",3,FALSE
"12",0.4,0.35,0.25,"Split Level","4","TOPSIS","Sq.Foot",3,FALSE
"13",0.5,0.3,0.2,"Ranch","1","TOPSIS","Sq.Foot",4,FALSE
"14",0.5,0.3,0.2,"Colonial","2","TOPSIS","Sq.Foot",4,FALSE
"15",0.5,0.3,0.2,"Reverse Ranch","3","TOPSIS","Sq.Foot",4,FALSE
"16",0.5,0.3,0.2,"Split Level","4","TOPSIS","Sq.Foot",4,FALSE
"17",0.6,0.25,0.15,"Ranch","1","TOPSIS","Sq.Foot",5,FALSE
"18",0.6,0.25,0.15,"Colonial","2","TOPSIS","Sq.Foot",5,FALSE
"19",0.6,0.25,0.15,"Reverse Ranch","3","TOPSIS","Sq.Foot",5,FALSE
"20",0.6,0.25,0.15,"Split Level","4","TOPSIS","Sq.Foot",5,FALSE
"21",0.7,0.2,0.1,"Ranch","2","TOPSIS","Sq.Foot",6,FALSE
"22",0.7,0.2,0.1,"Colonial","1","TOPSIS","Sq.Foot",6,FALSE
"23",0.7,0.2,0.1,"Reverse Ranch","3","TOPSIS","Sq.Foot",6,FALSE
"24",0.7,0.2,0.1,"Split Level","4","TOPSIS","Sq.Foot",6,FALSE
"25",0.8,0.15,0.05,"Ranch","2","TOPSIS","Sq.Foot",7,FALSE
"26",0.8,0.15,0.05,"Colonial","1","TOPSIS","Sq.Foot",7,FALSE
"27",0.8,0.15,0.05,"Reverse Ranch","3","TOPSIS","Sq.Foot",7,FALSE
"28",0.8,0.15,0.05,"Split Level","4","TOPSIS","Sq.Foot",7,FALSE
"29",0.9,0.1,1.38777878078145e-17,"Ranch","3","TOPSIS","Sq.Foot",8,FALSE
"30",0.9,0.1,1.38777878078145e-17,"Colonial","1","TOPSIS","Sq.Foot",8,FALSE
"31",0.9,0.1,1.38777878078145e-17,"Reverse Ranch","2","TOPSIS","Sq.Foot",8,FALSE
"32",0.9,0.1,1.38777878078145e-17,"Split Level","4","TOPSIS","Sq.Foot",8,FALSE
"33",0.3,0.4,0.3,"Ranch","1","TOPSIS","Preference",9,FALSE
"34",0.3,0.4,0.3,"Colonial","2","TOPSIS","Preference",9,FALSE
"35",0.3,0.4,0.3,"Reverse Ranch","3","TOPSIS","Preference",9,FALSE
"36",0.3,0.4,0.3,"Split Level","4","TOPSIS","Preference",9,FALSE
"37",0.35,0.3,0.35,"Ranch","1","TOPSIS","Preference",10,FALSE
"38",0.35,0.3,0.35,"Colonial","2","TOPSIS","Preference",10,FALSE
"39",0.35,0.3,0.35,"Reverse Ranch","3","TOPSIS","Preference",10,FALSE
